,1714088,1703558,1700735,1701668,1701650,1703635,1703636,1705975,1661747,1661999,1662001,1662563,1662565,1662993,1662995,1674160,1676494,1676496,1676500,1676713,1662000,1662002,1662564,1662567,1664698,1676497,1671129,1661826,1661744,1676714,1664687,1671128,1700055,1700070,1687895,1660064,1700053,1661827,1686754,1656381,1676498,1700052,1700049,1687924,1681555,1703533,1662003,1662991,1664683,1674159,1676513,1662566,1700729,1658781,1681542,1706572,1664693,1688246,1689048,1703553,1681494,1706538,1705845,1662569,1703522,1706540,1706542,1700730,1706529,1666344,1684888,1683150,1686792,1686831,1683038,1706543,1683154,1707656,1687964,1681575,1684883,1687593,1711675,1664691,1703535,1683158,1659761,1687608,1686673,1696936,1714166,1701515,1706535,1701625,1668204,1701662,1687379,1687500,1661838,1700733,1656370,1700731,1706534,1703555,1700051,1703501,1684254,1662994,1706532,1705977,1714315,1700727,1705968,1703538,1687829,1706531,1706530,1687489,1660065,1656297,1706528,1684011,1700913,1705972,1683994,1700732,1660068,1684912,1711672,1667048,1707873,1703534,1703530,1703640,1701546,1711669,1714090,1701633,1711668,1718770,1690287,1714221,1681118,1711674,1696940,1714299,1696930,1700050,1700734,1701577,1681690,1706537,1661748,1671131,1701556,1701591,1681706,1656300,1662992,1706533,1703539,1703536,1681115,1711673,1705970,1705974,1664297
1714088,,6.075155,5.731325,6.019918,5.932688,6.088761,6.088761,6.272848,5.998222,6.124512,5.959592,6.825548,5.883366,5.990128,5.932688,5.990652,5.991701,7.196575,5.998706,5.967941,6.031307,10.674448,5.154080,6.003357,6.025766,5.979589,5.998641,9.275832,6.573751,5.993852,6.186595,6.036017,5.989320,-0.014328,-0.020003,0.002872,-0.014186,-0.000909,5.989873,11.731115,5.999776,-0.028315,-0.028315,4.418232,-0.007893,5.900622,-0.018021,0.081932,0.146529,2.241931,5.910741,6.014749,5.902211,5.999389,5.999138,5.994141,6.738510,5.932688,5.997780,5.767043,5.928768,5.993713,6.050991,6.000009,5.960183,5.988088,5.999246,5.970230,5.999348,13.660477,4.512665,5.967801,5.966055,5.932553,5.997780,5.999246,6.739438,6.015750,5.987243,5.898320,5.987243,5.908605,5.486623,5.996152,5.976256,5.988155,6.476960,5.960365,5.919212,5.937573,-10.237493,5.966055,6.166856,5.866474,6.914015,5.964979,5.602201,5.970280,5.987464,6.019753,6.000728,4.827924,5.998738,5.990503,5.141084,6.408609,5.613224,6.777431,5.748377,6.166856,5.987234,5.578031,5.276366,5.968825,5.853658,5.748377,5.996878,5.966055,6.476960,6.019259,5.925950,5.932688,6.597445,4.824542,5.267920,6.236690,6.476960,5.460012,6.441899,6.000001,8.012766,5.989816,6.441899,6.088761,6.000695,5.033789,5.926624,5.971603,5.575108,5.939426,5.613224,8.000000,5.460012,5.026499,5.767043,5.593994,5.713956,5.648491,6.236690,5.648491,5.817027,6.075155,6.060442,5.992390,6.001147,5.033789,-1.990000,6.041246,6.165453,6.311087,5.906836,5.922086,5.406587,5.651988,5.765282,6.133148,6.732080
1703558,5.924845,,5.891959,6.631261,5.998894,5.646892,5.646892,5.426261,5.999750,5.999573,5.998877,6.001003,5.996758,5.999866,5.998894,5.999870,5.999881,5.998851,5.999948,5.999580,5.999319,6.046820,5.862025,5.999936,7.510528,5.999708,5.999962,6.008723,5.996094,5.999820,5.998209,5.999651,5.999806,-0.000282,-0.000934,-0.000005,-0.000279,-0.000013,5.999757,5.984429,5.998317,-0.000829,-0.000829,0.086758,-0.000145,5.998388,-0.000500,-0.002333,-0.000375,-0.004049,5.997523,5.999945,5.998417,5.999926,5.999989,5.999922,5.997830,5.998894,5.999971,5.995764,5.998695,5.999916,6.606531,6.000329,5.999406,5.999835,5.999991,5.999548,5.999992,6.006869,5.976569,5.999527,5.999465,5.998892,5.999971,5.999991,5.844418,6.702855,5.999818,5.998456,5.999818,5.997809,5.988873,5.999897,5.999658,5.999826,6.000510,5.999460,5.998773,5.999033,5.031754,5.999465,5.267684,5.997759,5.996681,5.999358,5.992712,5.999549,5.999559,6.628745,5.964978,5.930432,5.999984,5.999870,5.976863,5.648397,5.991699,5.998850,5.891122,5.267684,5.999818,5.991337,5.982195,5.999543,5.997319,5.891122,5.999959,5.999465,6.000510,7.297987,5.998833,5.998894,6.639266,5.955412,5.965825,5.363745,6.000510,5.985015,5.758263,6.000047,8.569723,5.999860,5.758263,5.646892,6.044225,5.971707,5.998839,5.999586,5.991261,5.998954,5.991699,5.942675,5.985015,5.932790,5.995764,5.986209,5.892791,5.993087,5.363745,5.993087,5.996992,6.000000,5.999162,5.999746,6.069568,5.971707,5.853613,8.282686,13.121971,5.834929,5.998499,5.998768,5.972299,5.993156,5.995727,5.863073,5.978879
1700735,6.268675,6.108041,,6.028293,5.952932,6.127896,6.127896,6.405516,5.999547,6.095908,5.973385,6.622197,5.923180,5.992997,5.952932,5.993380,5.994133,6.911137,5.999205,5.977199,6.026167,12.659496,5.156723,6.002772,6.036227,5.985570,5.999104,8.451965,6.448878,5.995982,6.147844,6.028549,5.992599,-0.009854,-0.011825,0.002196,-0.009756,-0.000644,5.993192,12.536604,6.005848,-0.018499,-0.018499,6.271918,-0.005466,5.930432,-0.011873,0.070447,0.112412,1.713904,5.941195,6.011376,5.931534,5.999801,5.999386,5.995838,6.567564,5.952932,5.998421,5.838556,5.950670,5.995535,6.072977,6.000012,5.971942,5.991559,5.999462,5.979049,5.999535,14.133690,4.956335,5.977285,5.976181,5.952834,5.998421,5.999462,7.205748,6.022262,5.990981,5.928444,5.990981,5.938555,5.650629,5.997451,5.983223,5.991644,6.359721,5.971885,5.943146,5.956136,-16.143319,5.976181,6.243429,5.906797,6.704708,5.975747,5.724515,5.979085,5.992075,6.028058,6.001066,5.360246,5.999100,5.993265,5.431639,6.633765,5.736491,6.593421,6.019801,6.243429,5.990975,5.711111,5.515123,5.978002,5.898655,6.019801,5.997779,5.976181,6.359721,6.026987,5.948039,5.952932,6.848126,5.268379,5.567241,6.349371,6.359721,5.644250,6.732952,6.000001,8.018046,5.992780,6.732952,6.127896,6.000976,5.368739,5.948528,5.979953,5.709164,5.957824,5.736491,7.720973,5.644250,5.502338,5.838556,5.741540,5.980199,5.758263,6.349371,5.758263,5.872055,6.108041,6.048811,5.995140,6.001612,5.368739,0.466744,6.058065,6.232972,6.639754,5.934745,5.945345,5.649212,5.760668,5.837355,6.454737,6.630439
1701668,5.980082,5.368739,5.971707,,5.999752,5.426261,5.426261,5.794586,5.999935,5.999804,5.999729,5.999715,5.999219,5.999971,5.999752,5.999972,5.999974,5.998897,5.999987,5.999910,5.999799,5.995996,5.964851,5.999981,11.086784,5.999936,5.999991,6.000125,5.998582,5.999956,5.999401,5.999883,5.999956,-0.000065,-0.000234,-0.000003,-0.000064,-0.000003,5.999942,5.990165,5.999554,-0.000201,-0.000201,0.001198,-0.000033,5.999639,-0.000121,-0.000673,-0.000197,-0.002570,5.999403,5.999976,5.999646,5.999981,5.999998,5.999983,5.998932,5.999752,5.999994,5.999033,5.999702,5.999982,5.272712,6.000425,5.999869,5.999964,5.999998,5.999900,5.999998,5.994635,5.994783,5.999896,5.999881,5.999751,5.999994,5.999998,5.955120,7.493213,5.999960,5.999659,5.999960,5.999480,5.997394,5.999975,5.999925,5.999962,5.999817,5.999883,5.999729,5.999785,5.802732,5.999881,5.650629,5.999495,5.998510,5.999853,5.998334,5.999900,5.999891,6.019801,5.574103,5.982345,5.999997,5.999972,5.994441,5.892791,5.998058,5.999176,5.971470,5.650629,5.999960,5.997986,5.995764,5.999900,5.999387,5.971470,5.999991,5.999881,5.999817,11.040539,5.999740,5.999752,6.008512,5.988968,5.991432,5.756571,5.999817,5.996389,5.930985,6.000187,9.210375,5.999970,5.930985,5.426261,6.162645,5.993147,5.999741,5.999909,5.997968,5.999763,5.998058,5.983473,5.996389,5.982838,5.999033,5.996616,5.971942,5.998403,5.756571,5.998403,5.999325,5.368739,5.999738,5.999938,6.243429,5.993147,5.966538,9.344082,6.794286,5.955046,5.999665,5.999725,5.993055,5.998418,5.999024,5.963398,5.993914
1701650,6.067312,6.001106,6.047068,6.000248,,6.001346,6.001346,6.005771,10.361583,11.299308,9.988538,7.573266,7.381852,5.450222,6.000000,5.537247,5.647853,6.754197,6.603815,3.884182,12.559518,6.060848,6.036793,8.341553,6.000272,5.133857,6.300719,6.544165,6.829110,7.551095,8.059828,16.603646,6.372266,0.912664,5.362560,1.033771,0.903583,-0.045024,7.505971,6.093726,9.005918,5.532001,5.532001,0.054533,0.293214,5.790697,4.021920,1.983587,4.981752,0.358156,7.807165,11.863998,5.757998,7.261325,5.939358,5.642929,6.944598,6.000000,5.853475,6.440992,7.511567,5.622082,6.000708,6.000000,4.809636,5.384164,5.940046,5.256884,5.947494,6.108405,5.950213,4.896362,5.541594,5.980000,5.853475,5.940046,6.029745,6.000182,5.458659,4.410933,5.458659,7.839397,6.316949,6.780885,5.040089,5.593994,8.648511,3.792723,4.000000,4.832759,5.919363,5.541594,6.002927,6.212040,6.705632,7.301018,6.270671,5.264241,10.638130,6.000246,6.000013,6.072808,5.904458,5.478919,6.190386,6.012140,6.417402,7.079040,6.046697,6.002927,5.457306,6.363659,6.231925,4.904290,6.735759,6.046697,5.788631,5.541594,8.648511,6.000191,5.000000,6.000000,6.007377,6.109863,6.146525,6.004688,8.648511,6.298722,6.019411,6.000000,8.000147,5.450932,6.019411,6.001346,6.000007,6.162115,5.100000,4.948766,6.362086,7.000000,6.417402,6.080788,6.298722,6.075616,6.440992,6.348012,6.047442,6.401966,6.004688,6.401966,6.000000,6.001106,10.889118,8.545726,6.000012,6.162115,6.013476,6.000445,6.001791,6.030016,5.652339,5.152412,6.180765,6.406006,6.441249,6.036747,6.219421
1703635,5.911239,6.353108,5.872104,6.573739,5.998654,,6.000000,5.368739,5.999703,5.999568,5.998650,6.001663,5.996103,5.999836,5.998654,5.999841,5.999855,5.999336,5.999938,5.999486,5.999214,6.069551,5.835816,5.999927,7.270014,5.999644,5.999955,6.012201,5.995720,5.999784,5.997993,5.999609,5.999764,-0.000341,-0.001114,-0.000004,-0.000338,-0.000015,5.999707,5.986567,5.998012,-0.000996,-0.000996,0.121393,-0.000175,5.998039,-0.000601,-0.002708,-0.000358,-0.003482,5.997023,5.999944,5.998073,5.999912,5.999986,5.999904,5.997865,5.998654,5.999964,5.994862,5.998417,5.999897,6.700923,6.000291,5.999275,5.999799,5.999989,5.999449,5.999990,6.014353,5.971465,5.999422,5.999349,5.998653,5.999964,5.999989,5.819420,6.608611,5.999777,5.998118,5.999777,5.997359,5.986560,5.999876,5.999583,5.999787,6.000879,5.999340,5.998504,5.998822,4.804928,5.999349,5.269982,5.997276,5.996610,5.999222,5.991162,5.999450,5.999472,6.571051,5.976782,5.917158,5.999980,5.999841,5.972176,5.596925,5.989972,5.999092,5.871128,5.269982,5.999777,5.989523,5.978552,5.999442,5.996749,5.871128,5.999950,5.999349,6.000879,7.077776,5.998579,5.998654,6.894752,5.946658,5.959214,5.313532,6.000879,5.981989,5.718798,6.000039,8.493331,5.999829,5.718798,6.000000,6.036906,5.966025,5.998587,5.999495,5.989433,5.998729,5.989972,5.933457,5.981989,5.920058,5.994862,5.983477,5.873074,5.991632,5.313532,5.991632,5.996342,6.353108,5.999046,5.999695,6.058306,5.966025,5.822478,7.930076,13.663973,5.806093,5.998174,5.998499,5.966940,5.991715,5.994817,5.838556,5.975479
1703636,5.911239,6.353108,5.872104,6.573739,5.998654,6.000000,,5.368739,5.999703,5.999568,5.998650,6.001663,5.996103,5.999836,5.998654,5.999841,5.999855,5.999336,5.999938,5.999486,5.999214,6.069551,5.835816,5.999927,7.270014,5.999644,5.999955,6.012201,5.995720,5.999784,5.997993,5.999609,5.999764,-0.000341,-0.001114,-0.000004,-0.000338,-0.000015,5.999707,5.986567,5.998012,-0.000996,-0.000996,0.121393,-0.000175,5.998039,-0.000601,-0.002708,-0.000358,-0.003482,5.997023,5.999944,5.998073,5.999912,5.999986,5.999904,5.997865,5.998654,5.999964,5.994862,5.998417,5.999897,6.700923,6.000291,5.999275,5.999799,5.999989,5.999449,5.999990,6.014353,5.971465,5.999422,5.999349,5.998653,5.999964,5.999989,5.819420,6.608611,5.999777,5.998118,5.999777,5.997359,5.986560,5.999876,5.999583,5.999787,6.000879,5.999340,5.998504,5.998822,4.804928,5.999349,5.269982,5.997276,5.996610,5.999222,5.991162,5.999450,5.999472,6.571051,5.976782,5.917158,5.999980,5.999841,5.972176,5.596925,5.989972,5.999092,5.871128,5.269982,5.999777,5.989523,5.978552,5.999442,5.996749,5.871128,5.999950,5.999349,6.000879,7.077776,5.998579,5.998654,6.894752,5.946658,5.959214,5.313532,6.000879,5.981989,5.718798,6.000039,8.493331,5.999829,5.718798,6.000000,6.036906,5.966025,5.998587,5.999495,5.989433,5.998729,5.989972,5.933457,5.981989,5.920058,5.994862,5.983477,5.873074,5.991632,5.313532,5.991632,5.996342,6.353108,5.999046,5.999695,6.058306,5.966025,5.822478,7.930076,13.663973,5.806093,5.998174,5.998499,5.966940,5.991715,5.994817,5.838556,5.975479
1705975,5.727152,6.573739,5.594484,6.205414,5.994229,6.631261,6.631261,,5.999045,6.001696,5.994869,6.025154,5.985190,5.999255,5.994229,5.999284,5.999353,6.027009,5.999778,5.997641,5.998343,6.810631,5.443771,5.999857,6.324386,5.998409,5.999828,6.117033,6.000771,5.999187,5.998362,5.999672,5.999016,-0.001396,-0.003911,0.000056,-0.001383,-0.000070,5.998855,6.166272,5.993883,-0.003748,-0.003748,1.165720,-0.000731,5.991559,-0.002285,-0.006335,0.002457,0.043724,5.988681,6.000185,5.991704,5.999715,5.999937,5.999563,6.011365,5.994229,5.999837,5.978552,5.993406,5.999530,6.440541,6.000093,5.996805,5.999092,5.999946,5.997584,5.999954,6.305402,5.876176,5.997442,5.997174,5.994221,5.999837,5.999946,5.577546,6.179646,5.999006,5.991745,5.999006,5.989663,5.946224,5.999526,5.998141,5.999059,6.014282,5.997008,5.993441,5.994862,0.168573,5.997174,6.715113,5.988384,6.011768,5.996758,5.963174,5.997587,5.998072,6.203945,6.002598,5.716891,5.999909,5.999282,5.893617,5.271024,5.959784,6.016083,5.592033,6.715113,5.999005,5.957551,5.916502,5.997529,5.986452,5.592033,5.999771,5.997174,6.014282,6.256744,5.993835,5.994229,12.246214,5.807493,5.856853,6.377581,6.014282,5.931525,5.315576,6.000009,8.145619,5.999228,5.315576,6.631261,6.009047,5.872104,5.993875,5.997759,5.957202,5.994622,5.959784,5.844003,5.931525,5.730628,5.978552,5.939353,5.596925,5.965742,6.377581,5.965742,5.984312,6.573739,5.998534,5.998879,6.014639,5.872104,5.260331,6.507836,8.028409,5.447835,5.992124,5.993496,5.883967,5.966083,5.978370,5.515123,5.942397
1661747,6.001778,6.000250,6.000453,6.000065,1.638417,6.000297,6.000297,6.000955,,7.016250,4.952180,6.381003,5.636977,2.948402,1.638417,3.117621,3.448335,6.162300,5.683437,-3.950462,6.737313,6.015359,5.998484,7.303157,6.000083,-0.276083,5.626385,6.144122,6.139053,4.332988,6.314289,7.613213,2.817821,-4.218241,-0.440721,0.995523,-4.176268,-0.280443,3.124750,6.019336,6.078096,-1.268497,-1.268497,0.014438,-2.349445,2.860117,-2.362311,0.197462,0.992933,0.073941,5.523058,11.180359,2.783505,5.970771,5.731945,4.185044,6.185068,1.638417,5.310908,5.181087,3.403462,4.053087,6.000169,6.000000,-5.703572,2.323649,5.764815,-3.089464,5.796529,6.025399,5.759798,-3.868107,-4.316319,1.629157,5.310908,5.764815,6.002961,6.000051,2.077434,1.798817,2.077434,5.247128,5.809581,4.933132,-1.294947,2.369726,6.636019,-6.251708,0.712391,-0.203330,5.950103,-4.316319,6.000568,3.996291,6.134121,0.718664,5.535048,-3.073574,4.370046,6.000065,6.000002,5.996351,5.606750,3.065477,5.945473,6.001523,5.738129,6.226304,6.000493,6.000568,2.074511,5.717774,5.912854,-3.557511,4.736129,6.000493,5.030332,-4.316319,6.636019,6.000062,1.175404,1.638417,6.001952,5.986114,5.987958,6.000820,6.636019,5.921162,6.001813,6.000000,8.000041,2.854357,6.001813,6.000297,6.000002,5.962827,1.221705,-2.712394,5.721530,2.101430,5.738129,6.008018,5.921162,5.997276,5.181087,5.943983,6.000412,5.601713,6.000820,5.601713,4.395463,6.000250,6.659189,4.013666,6.000004,5.962827,5.976851,6.000133,6.000534,6.001708,2.542615,1.499971,5.985144,5.597710,5.191386,6.001362,6.021710
